M, 358.873, 0, 0, 35.0526, 2.51521, 181.533, 8.05387, 0, 357.576, 0, 220.122, 19.6421, 0, 322.506, 0, 315.01, 174.423, 122.933, 143.793, 289.28, 0, 310.599, 219.402, 308.49, 137.428, 338.671, 194.998, 352.968, 128.722, 181.407, 192.273, 349.034, 267.092
M, 359.66, 0, 0, 37.5005, 4.53868, 354.194, 10.6525, 0, 357.597, 0, 0, 17.1399, 0, 0, 0, 0, 0, 95.0172, 96.4444, 98.6599, 0, 110.714, 35.6025, 310.728, 315.202, 0, 14.2777, 343.751, 279.759, 9.90782, 8.47766, 352.357, 0
M, 180.337, 0, 0, 34.643, 312.787, 0.993573, 43.0176, 0, 187.457, 0, 0, 0, 0, 0, 0, 0, 0, 3.35977, 264.405, 276.056, 0, 338.731, 179.372, 225.541, 158.337, 0.0907162, 186.749, 180.255, 163.286, 357.424, 184.574, 179.501, 153.872
M, 359.683, 0, 0, 39.7126, 357.157, 207.183, 27.93, 0, 1.48461, 0, 0, 0, 0, 0, 0, 0, 0, 48.5214, 64.1954, 307.601, 0, 81.9333, 89.5088, 119.326, 339.671, 0, 5.88262, 334.844, 8.6621, 0, 3.76931, 353.972, 276.433
M, 359.666, 29.9591, 315.01, 27.9564, 179.561, 0.891722, 0, 0, 355.754, 0, 135.007, 2.46573, 0, 318.564, 261.938, 41.7131, 281.57, 222.789, 227.37, 354.83, 0, 355.636, 223.474, 156.929, 139.537, 7.91987, 217.091, 356.103, 265.759, 187.418, 0, 348.69, 308.216
M, 358.039, 29.9591, 0, 27.9564, 3.70041, 355.584, 0, 0, 359.299, 0, 0, 2.53483, 0, 0, 259.95, 0, 0, 42.7501, 40.6903, 295.379, 0, 216.834, 304.905, 335.629, 139.617, 278.532, 272.809, 359.056, 262.892, 7.82726, 0, 348.575, 0
M, 302.98, 45.004, 275.562, 5.28703, 179.919, 61.8437, 359.763, 0, 310.133, 0, 134.808, 2.51255, 0, 311.571, 0, 43.3295, 276.022, 264.38, 265.214, 7.5003, 0, 268.129, 221.378, 152.176, 0, 186.944, 223.892, 210.414, 95.6275, 186.179, 0, 337.531, 307.143
M, 0.939131, 45.0097, 0, 182.086, 7.2897, 187.809, 358.316, 0, 0, 0, 0, 9.22818, 0, 341.159, 0, 0, 0, 51.1964, 231.12, 283.851, 0, 66.5754, 90.7601, 329.285, 0, 8.462, 318.856, 359.129, 99.903, 6.22818, 0, 350.6, 306.185
M, 5.17751, 0, 0, 0, 356.947, 183.305, 359.237, 0, 0.702456, 0, 0, 0, 0, 0, 0, 0, 0, 52.8002, 79.9708, 111.726, 0, 86.5255, 89.8157, 95.76, 341.191, 0, 3.1015, 293.831, 9.92827, 0, 3.97379, 355.463, 0
M, 35.7046, 0, 0, 0, 358.147, 229.33, 359.237, 0, 2.38585, 0, 0, 0, 0, 0, 0, 0, 0, 47.7643, 50.4912, 54.1826, 0, 43.2074, 78.5041, 94.5314, 336.205, 193.963, 359.299, 1.36352, 17.0386, 0, 4.54656, 189.427, 0
